metric,value
candidate_rows,6467
regression_phrases,8
regression_failures,0
translation_worklist_families,4609
translation_context_rows,4609
reason:dense_mixed_two_token_preservation,33
reason:dense_reference_difference_plus_very_strong_preservation,514
reason:dense_three_strong_preserved_tokens,80
reason:dense_two_very_strong_preserved_tokens,4774
reason:english_reference_differs,3885
reason:short_line_very_strong_preservation,550
reason:signal_support,2167
reason:signal_support_plus_strong_preservation,130
reason:signal_supported_two_token_preservation,386
excluded:non_dialogue_ui_key,23756
excluded:short_english_name_or_term,1659
